Player,Team,Position,Games,Bye,Yahoo,Sleeper,RTSports,JJ Tier,JJ Rank,Draftsharks,SOS,InjuryRisk,FloorProj,ConsensusProj,DSProj,CeilingProj,3D Value
Javonte Williams,DAL,RB,17,10,143,100,95,22,127,133,-3.20%,0.8,72,113,121,186,7
Christian Kirk,HOU,WR,17,6,196,149,151,22,128,122,0.30%,0.86,121,118,144,178,10
Dallas Goedert,PHI,TE,17,9,118,137,156,23,129,96,-4.50%,0.76,112,118,130,157,17
Ray Davis,BUF,RB,17,7,179,148,133,23,130,183,-1.90%,0,81,92,93,180,2
Marvin Mims jr.,DEN,WR,17,12,202,141,138,23,131,148,-1.30%,0.23,88,118,131,178,5
Woody Marks,HOU,RB,17,6,230,198,181,23,132,243,2.30%,0,56,54,70,155,-7
Braelon Allen,NYJ,RB,17,9,165,155,121,23,133,159,5.00%,0.35,90,85,101,195,4
Austin Ekeler,WAS,RB,17,12,161,131,122,23,134,115,-3.90%,0.36,98,122,144,173,11
J.J. McCarthy,MIN,QB,17,6,135,146,129,23,135,181,-3.50%,0.18,234,278,304,344,2
Keenan Allen,LAC,WR,17,12,174,164,128,23,136,139,-0.80%,0.75,97,124,126,192,6
Dalton Kincaid,BUF,TE,17,7,115,119,143,23,137,89,4.60%,0.52,106,113,134,174,18
Demario Douglas,NE,WR,17,14,231,199,171,23,138,215,1.10%,0.63,94,99,112,159,-2
Nick Chubb,HOU,RB,17,6,145,143,134,23,139,184,2.30%,0.74,72,92,85,200,2
Trey Benson,ARI,RB,17,8,186,145,126,23,140,192,4.70%,0.23,75,98,82,180,0
Jared Goff,DET,QB,17,8,100,97,101,23,141,157,-4.10%,0.2,273,280,300,342,4
Jake Ferguson,DAL,TE,17,10,120,138,127,23,142,98,-6.40%,0.41,105,119,134,147,16
Cedric Tillman,CLE,WR,17,9,232,192,170,23,143,160,-2.20%,0.36,92,122,118,190,4
Kyle Pitts sr.,ATL,TE,17,5,142,121,137,23,144,117,5.40%,0.62,92,110,110,162,11
C.J. Stroud,HOU,QB,17,6,130,126,131,24,145,187,4.70%,0.26,267,270,293,337,1
Jaylen Wright,MIA,RB,17,12,187,172,150,24,146,179,2.80%,0.28,76,90,92,199,3
Rashod Bateman,BAL,WR,17,7,184,151,189,24,147,156,1.20%,0.65,108,119,123,174,4
Joshua Palmer,BUF,WR,17,7,233,174,191,24,148,171,1.10%,0.74,108,101,124,174,3
Rico Dowdle,CAR,RB,17,14,170,156,146,24,149,228,3.40%,0.21,62,87,78,152,-4
Jacory Croskey-Merritt,WAS,RB,17,12,140,182,159,24,151,132,-3.90%,0,85,94,116,203,7
Roschon Johnson,CHI,RB,17,5,234,202,206,25,152,202,-3.40%,0.31,67,83,92,173,0
Marquise Brown,KC,WR,17,10,171,177,162,25,153,113,0.60%,0.78,118,120,143,192,11
Dylan Sampson,CLE,RB,17,9,173,173,147,25,154,185,0.10%,0,71,76,98,185,1
Adam Thielen,CAR,WR,17,14,160,171,192,25,155,197,2.00%,0.45,85,121,123,148,0
Romeo Doubs,GB,WR,17,5,236,211,188,25,156,143,-0.70%,0.43,111,111,135,167,6
Kyle Williams,NE,WR,17,14,182,166,203,26,157,207,1.10%,0,89,83,112,185,-1
Tre' Harris,LAC,WR,17,12,195,139,163,26,158,193,-0.80%,0,84,95,112,188,0
Isaac Guerendo,SF,RB,17,14,168,152,132,26,159,189,4.40%,0,71,89,75,213,1
Rachaad White,TB,RB,17,9,178,129,125,26,160,163,2.10%,0.43,91,100,111,161,4
Bryce Young,CAR,QB,17,14,154,201,152,26,161,221,3.60%,0.29,250,256,287,333,-3
Brenton Strange,JAC,TE,17,8,205,194,161,26,162,134,3.70%,0.2,88,99,101,150,7
Michael Penix jr.,ATL,QB,17,5,148,190,158,26,163,249,3.30%,0.21,249,253,271,331,-8
Hunter Henry,NE,TE,17,14,144,170,153,27,164,119,1.60%,0.4,99,106,113,151,11
Jerome Ford,CLE,RB,17,9,176,158,118,27,165,188,0.10%,0.41,69,92,98,168,1
Zach Ertz,WAS,TE,17,12,175,165,160,27,166,111,-6.20%,0.84,92,113,120,146,12
Wan'Dale Robinson,NYG,WR,17,14,237,206,178,27,167,209,-2.70%,0.39,96,113,117,147,-1
Chig Okonkwo,TEN,TE,17,10,189,209,176,27,168,125,4.10%,0.29,90,103,115,142,9
Tyler Allgeier,ATL,RB,17,5,194,167,145,27,169,180,5.60%,0.21,82,92,94,186,2
Mason Taylor,NYJ,TE,17,9,185,197,198,27,171,198,5.10%,0,72,82,86,137,0
Tua Tagovailoa,MIA,QB,17,12,147,196,142,27,172,210,2.20%,0.49,256,258,291,334,-2
